Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16021, 79, 5, 2.633, 4.010, 4.532, 306.139, 0.862, 49.953, 1.063, 0.867, 4.000, 0.816, 2.000, -1, 0.000, 0, 0, False, 13213.0, 13410.0, 13872.0, 0.155, 100.000, 25.0, -1, True, 14049.0, 0.265, 100.000, 21.0, -1, True, 13410.0, 0.165, 100.000, 25.0, -1, True, 14110.0, 0.170, 100.000, 33.0, -1, True, 14001.0, 0.152, 100.000, 26.0, -1, True, 14011.0, 0.158, 100.000, 25.0, -1, True, 13410.0
16022, 62, 5, 2.468, 3.993, 0.984, 299.928, 0.604, 103.311, 0.871, 0.820, 4.000, 0.941, 2.000, -1, 0.000, 0, 0, False, 2303.0, 7978.0, 9106.0, 0.100, 100.000, 15.0, -1, True, 7978.0, 0.617, 100.000, 16.0, -1, True, 8552.0, 0.100, 100.000, 16.0, -1, True, 8535.0, 0.130, 100.000, 23.0, -1, True, 8585.0, 0.128, 100.000, 19.0, -1, True, 9393.0, 0.086, 100.000, 15.0, -1, True, 7978.0
16023, 91, 4, 2.670, 2.959, 1.000, 298.342, 0.820, 68.619, 1.044, 0.829, 3.000, 0.794, 2.000, -1, 0.000, 0, 0, False, 1804.0, 6451.0, 6769.0, 0.170, 100.000, 64.0, -1, True, 7388.0, 1.337, 100.000, 58.0, -1, True, 6451.0, 0.192, 100.000, 72.0, -1, True, 6813.0, 0.210, 100.000, 76.0, -1, True, 6661.0, 0.204, 100.000, 73.0, -1, True, 6707.0, 0.202, 100.000, 64.0, -1, True, 6451.0
16024, 63, 5, 7.413, 1.488, 4.381, 300.891, 0.116, 227.476, 0.937, 0.246, 1.000, 0.262, 1.000, -1, 0.000, 0, 0, False, 8458.0, 8567.0, 8922.0, 0.148, 100.000, 0.0, -1, False, 9169.0, 0.232, 100.000, 0.0, -1, False, 8567.0, 0.150, 100.000, 0.0, -1, False, 8888.0, 0.140, 100.000, 0.0, -1, False, 9083.0, 0.150, 100.000, 0.0, -1, False, 8792.0, 0.104, 100.000, 0.0, -1, False, 8567.0
16025, 77, 4, 7.584, 1.491, 4.416, 295.348, 0.363, 174.898, 0.974, 0.160, 1.000, 0.164, 1.000, -1, 0.000, 0, 0, False, 10027.0, 10121.0, 10659.0, 0.196, 100.000, 2.0, -1, True, 10347.0, 0.400, 100.000, 1.0, -1, True, 10121.0, 0.210, 100.000, 3.0, -1, True, 10774.0, 0.200, 100.000, 3.0, -1, True, 10530.0, 0.200, 100.000, 3.0, -1, True, 10672.0, 0.220, 100.000, 2.0, -1, True, 10121.0
16026, 53, 6, 7.736, 1.998, 0.868, 298.798, 0.245, 179.853, 1.906, 0.295, 2.000, 0.155, 1.000, -1, 0.000, 0, 0, False, 1993.0, 3081.0, 3649.0, 0.110, 100.000, 0.0, -1, False, 3081.0, 0.830, 100.000, 0.0, -1, False, 3258.0, 0.150, 100.000, 0.0, -1, False, 3416.0, 0.140, 100.000, 1.0, -1, True, 3295.0, 0.120, 100.000, 0.0, -1, False, 3396.0, 0.125, 100.000, 0.0, -1, False, 3081.0
16027, 75, 8, 7.427, 2.488, 1.053, 300.106, 0.607, 93.470, 2.760, 0.430, 2.000, 0.156, 1.000, -1, 0.000, 0, 0, False, 4110.0, 4210.0, 4884.0, 0.290, 100.000, 11.0, -1, True, 4993.0, 1.140, 100.000, 11.0, -1, True, 4210.0, 0.293, 100.000, 15.0, -1, True, 4771.0, 0.238, 100.000, 10.0, -1, True, 4513.0, 0.233, 100.000, 11.0, -1, True, 4684.0, 0.290, 100.000, 17.0, -1, True, 4210.0
16028, 65, 7, 7.646, 5.515, 4.215, 301.895, 0.714, 76.992, 2.815, 0.429, 5.000, 0.152, 2.000, -1, 0.000, 0, 0, False, 8215.0, 9171.0, 9924.0, 0.470, 100.000, 19.0, -1, True, 9816.0, 0.720, 100.000, 16.0, -1, True, 9171.0, 0.464, 100.000, 24.0, -1, True, 10178.0, 0.407, 100.000, 20.0, -1, True, 10398.0, 0.410, 100.000, 13.0, -1, True, 9691.0, 0.469, 100.000, 19.0, -1, True, 9171.0
16029, 52, 4, 7.212, 3.045, 4.231, 301.016, 0.827, 66.376, 1.865, 0.397, 3.000, 0.213, 2.000, -1, 0.000, 0, 0, False, 7601.0, 7715.0, 8102.0, 0.130, 100.000, 12.0, -1, True, 8359.0, 0.300, 100.000, 14.0, -1, True, 7715.0, 0.180, 100.000, 13.0, -1, True, 8013.0, 0.160, 100.000, 13.0, -1, True, 8064.0, 0.170, 100.000, 17.0, -1, True, 7827.0, 0.150, 100.000, 21.0, -1, True, 7715.0
16030, 67, 9, 7.388, 7.127, 0.821, 300.923, 0.779, 60.678, 3.537, 0.703, 7.000, 0.199, 3.000, -1, 0.000, 0, 0, False, 1801.0, 5475.0, 6376.0, 0.650, 100.000, 41.0, -1, True, 5475.0, 5.560, 100.000, 57.0, -1, True, 6102.0, 0.730, 100.000, 53.0, -1, True, 7152.0, 0.690, 100.000, 45.0, -1, True, 6096.0, 0.725, 100.000, 52.0, -1, True, 6408.0, 0.648, 100.000, 48.0, -1, True, 5475.0
